id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
GT1708,Dolores,Dolores,dolores-gt1708,GT1708,16.645,-89.36
GT1714,El Chal,El Chal,el-chal-gt1714,GT1714,16.516,-89.728
GT1701,Flores,Flores,flores-gt1701,GT1701,17.354,-89.519
GT1705,La Libertad,La Libertad,la-libertad-gt1705,GT1705,16.993,-90.643
GT1713,Las Cruces,Las Cruces,las-cruces-gt1713,GT1713,16.86,-90.853
GT1711,Melchor de Mencos,Melchor de Mencos,melchor-de-mencos-gt1711,GT1711,17.322,-89.244
GT1712,Poptún,Poptun,poptun-gt1712,GT1712,16.335,-89.526
GT1704,San Andrés,San Andres,san-andres-gt1704,GT1704,17.388,-90.452
GT1703,San Benito,San Benito,san-benito-gt1703,GT1703,16.983,-90.104
GT1706,San Francisco,San Francisco,san-francisco-gt1706,GT1706,16.624,-90.031
GT1702,San José,San Jose,san-jose-gt1702,GT1702,17.374,-89.809
GT1709,San Luis,San Luis,san-luis-gt1709,GT1709,16.057,-89.64
GT1707,Santa Ana,Santa Ana,santa-ana-gt1707,GT1707,16.831,-89.613
GT1710,Sayaxché,Sayaxche,sayaxche-gt1710,GT1710,16.298,-90.169
